epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,747.785,0.4905,0.35002,0.84634,0.88447,0.88964,0.90271,0.61436,1.20323,0.73423,1.12934,0.000313729,0.000313729,0.000313729
84,756.8,0.50556,0.35067,0.83855,0.88417,0.90698,0.90307,0.63314,1.22854,0.75029,1.14947,0.000297226,0.000297226,0.000297226
85,765.77,0.48247,0.3355,0.84548,0.85254,0.88669,0.90366,0.61059,1.21404,0.74062,1.1367,0.000280723,0.000280723,0.000280723
86,774.649,0.47723,0.34068,0.84658,0.86345,0.88194,0.89433,0.61416,1.20352,0.72938,1.13118,0.00026422,0.00026422,0.00026422
87,783.503,0.46496,0.32931,0.83464,0.87426,0.87413,0.90606,0.62291,1.20564,0.70679,1.13442,0.000247716,0.000247716,0.000247716
88,792.509,0.47819,0.33743,0.83455,0.81318,0.94186,0.9137,0.62837,1.17388,0.69605,1.11278,0.000231213,0.000231213,0.000231213
89,801.348,0.46283,0.32278,0.82877,0.83825,0.9186,0.92554,0.63401,1.18153,0.69322,1.11639,0.00021471,0.00021471,0.00021471
90,810.229,0.4691,0.33477,0.83361,0.84664,0.93023,0.92139,0.63474,1.18225,0.70541,1.11863,0.000198206,0.000198206,0.000198206
91,843.297,0.4426,0.31488,0.81008,0.87161,0.90698,0.9069,0.63791,1.18066,0.70476,1.11398,0.000181703,0.000181703,0.000181703
92,851.738,0.4358,0.3144,0.81441,0.86357,0.88372,0.89538,0.62629,1.13538,0.68421,1.07876,0.0001652,0.0001652,0.0001652
93,859.718,0.43871,0.31065,0.81821,0.85292,0.88446,0.89992,0.61967,1.16727,0.70193,1.11228,0.000148696,0.000148696,0.000148696
94,868.02,0.41993,0.29927,0.81402,0.86225,0.90802,0.91073,0.62553,1.16699,0.6911,1.11543,0.000132193,0.000132193,0.000132193
95,876.877,0.41493,0.29301,0.81182,0.84107,0.92481,0.90541,0.60731,1.16098,0.67708,1.11533,0.00011569,0.00011569,0.00011569
96,885.682,0.41565,0.29103,0.81036,0.87967,0.89634,0.90249,0.6076,1.14321,0.67557,1.10629,9.91865e-05,9.91865e-05,9.91865e-05
97,894.393,0.4159,0.29416,0.81361,0.88642,0.88581,0.90202,0.61114,1.15802,0.68031,1.11558,8.26832e-05,8.26832e-05,8.26832e-05
98,903.046,0.39364,0.28706,0.80731,0.90479,0.88469,0.90036,0.61107,1.16409,0.68662,1.11455,6.61799e-05,6.61799e-05,6.61799e-05
99,911.683,0.38898,0.28148,0.79954,0.88941,0.90556,0.90302,0.62093,1.16281,0.68912,1.11301,4.96766e-05,4.96766e-05,4.96766e-05
100,920.435,0.37953,0.28199,0.80346,0.87709,0.90698,0.89565,0.61796,1.16384,0.69739,1.11223,3.31733e-05,3.31733e-05,3.31733e-05
